0|Abstracte, non-figuratieve Kunst
12F13(...)|representaties ~ goden, halfgoden, helden, enz. (met NAAM) (Romeinse religie)    # representations ~ gods, demi-gods, heroes, etc. (with NAME) (Roman religion)
12F13(...)1|representaties ~ goden, halfgoden, helden, enz. (met NAAM) (Romeinse religie) - vroege leven, jeugd van niet-christelijke god of godin    # representations ~ gods, demi-gods, heroes, etc. (with NAME) (Roman religion) - early life, prime youth of non-Christian god or goddess
12F13(...)11|representaties ~ goden, halfgoden, helden, enz. (met NAAM) (Romeinse religie) - geboorte van een niet-christelijke god of godin    # representations ~ gods, demi-gods, heroes, etc. (with NAME) (Roman religion) - birth of non-Christian god or goddess
12F13(...)12|Representaties ~ goden, halfgoden, helden, enz. (met NAAM) (Romeinse religie) - kindertijd, opvoeding van niet-christelijke god of godin    # representations ~ gods, demi-gods, heroes, etc. (with NAME) (Roman religion) - infancy, upbringing of non-Christian god or goddess
12F13(...)2|Representaties ~ goden, halfgoden, helden, enz. (met NAAM) (Romeinse religie) - liefdesaffaires van niet-christelijke god of godin    # representations ~ gods, demi-gods, heroes, etc. (with NAME) (Roman religion) - love-affairs of non-Christian god or goddess
12F13(...)3|Representaties ~ goden, halfgoden, helden, enz. (met NAAM) (Romeinse religie) - belangrijkste daden van een niet-christelijke god of godin    # representations ~ gods, demi-gods, heroes, etc. (with NAME) (Roman religion) - most important deeds of non-Christian god or goddess
12F13(...)4|representaties ~ goden, halfgoden, helden, enz. (met NAAM) (Romeinse religie) - agressieve, onvriendelijke activiteiten en relaties van niet-christelijke god of godin    # representations ~ gods, demi-gods, heroes, etc. (with NAME) (Roman religion) - aggressive, unfriendly activities and relationships of non-Christian god or goddess
12F13(...)5|Representaties ~ goden, halfgoden, helden, enz. (met NAAM) (Romeinse religie) - niet-agressieve, vriendelijke of neutrale activiteiten en relaties van niet-christelijke god of godin    # representations ~ gods, demi-gods, heroes, etc. (with NAME) (Roman religion) - non-aggressive, friendly or neutral activities and relationships of non-Christian god or goddess
12F13(...)6|representaties ~ goden, halfgoden, helden, enz. (met NAAM) (Romeinse religie) - lijden, ongeluk van niet-christelijke god of godin    # representations ~ gods, demi-gods, heroes, etc. (with NAME) (Roman religion) - suffering, misfortune of non-Christian god or goddess
12F13(...)68|Representaties ~ goden, halfgoden, helden, enz. (met NAAM) (Romeinse religie) - dood van niet-christelijke god of godin    # representations ~ gods, demi-gods, heroes, etc. (with NAME) (Roman religion) - death of non-Christian god or goddess
12F13(...)69|Representaties ~ goden, halfgoden, helden, enz. (met NAAM) (Romeinse religie) - apotheose, vergoddelijking van een niet-christelijke god of godin    # representations ~ gods, demi-gods, heroes, etc. (with NAME) (Roman religion) - apotheosis, deification of non-Christian god or goddess
12F13(...)7|representaties ~ goden, halfgoden, helden, enz. (met NAAM) (Romeinse religie) - specifieke aspecten, allegorische aspecten van een niet-christelijke god of godin    # representations ~ gods, demi-gods, heroes, etc. (with NAME) (Roman religion) - specific aspects, allegorical aspects of non-Christian god or goddess
12F13(...)78|Representaties ~ goden, halfgoden, helden, enz. (met NAAM) (Romeinse religie) - triomf van niet-christelijke god of godin    # representations ~ gods, demi-gods, heroes, etc. (with NAME) (Roman religion) - triumph of non-Christian god or goddess
12F13(...)79|representaties ~ goden, halfgoden, helden, enz. (met NAAM) (Romeinse religie) - verering, eren van niet-christelijke god of godin    # representations ~ gods, demi-gods, heroes, etc. (with NAME) (Roman religion) - veneration, honouring of non-Christian god or goddess
12F13(...)8|representaties ~ goden, halfgoden, helden, enz. (met NAAM) (Romeinse religie) - attributen van een niet-christelijke god of godin    # representations ~ gods, demi-gods, heroes, etc. (with NAME) (Roman religion) - attributes of non-Christian god or goddess
12F13(...)9|representaties ~ goden, halfgoden, helden, enz. (met NAAM) (Romeinse religie) - nakomeling, metgezel(s), gevolg, enz. van een niet-christelijke god of godin    # representations ~ gods, demi-gods, heroes, etc. (with NAME) (Roman religion) - offspring, companion(s), train, etc. of non-Christian god or goddess
12F14|representaties ~ natuurlijke fenomenen (Romeinse religie)    # representations ~ natural phenomena (Roman religion)
12F15|representaties ~ man en zijn aard (Romeinse religie)    # representations ~ man and his nature (Roman religion)
12F151|Ideeën over het ontstaan van de menselijke cultuur in primitieve tijden ~ Romeinse religie    # ideas on the beginnings of human culture in primordial times ~ Roman religion
12F16|Ideeën over het dierenrijk, de plantenwereld, realia ~ Romeinse religie    # ideas on the animal kingdom, the vegetable world, realia ~ Roman religion
12F17|symbolische representaties ~ Romeinse religie    # symbolic representations ~ Roman religion
12F18|de onderwereld ~ Romeinse religie    # the underworld ~ Roman religion
12F181|Afdaling in de onderwereld ~ Romeinse religie    # descent into the underworld ~ Roman religion
12F19|demonen ~ Romeinse religie    # demons ~ Roman religion
12F2|rituele praktijken ~ Romeinse religie    # ritual practices ~ Roman religion
12F21|verering en toewijding (in het algemeen) ~ Romeinse religie    # worship and devotion (in general) ~ Roman religion
12F211|gebed ~ Romeinse religie    # prayer ~ Roman religion
12F212|opoffering ~ Romeinse religie    # sacrifice ~ Roman religion
12F2121|dierenoffer ~ Romeinse religie    # animal sacrifice ~ Roman religion
12F2122|menselijk offer ~ Romeinse religie    # human sacrifice ~ Roman religion
12F2123|sacrificiefeest ~ Romeinse religie    # sacrificial feast ~ Roman religion
12F2123(...)|offerfeest (met NAAM) ~ Romeinse religie    # sacrificial feast (with NAME) ~ Roman religion
12F2123(SUOVETAURILIA)|Suovetaurilia, offerande van een everzwijn, een ram en een stier ~ Romeinse religie    # 'Suovetaurilia', offering of a boar, a ram and a bull ~ Roman religion
12F2123(TAUROBOLIA)|'Taurobolie', het offeren van een stier ~ Romeinse religie    # 'Taurobolia', offering a bull ~ Roman religion
12F213|Rituele muziek en dansen ~ Romeinse religie    # ritual music and dancing ~ Roman religion
12F214|orgie ~ Romeinse religie    # orgy ~ Roman religion
12F215|meditatie ~ Romeinse religie    # meditation ~ Roman religion
12F216|processie ~ Romeinse religie    # procession ~ Roman religion
12F219|andere rituele praktijken ~ Romeinse religie    # other ritual practices ~ Roman religion
12F23|ascese ~ Romeinse religie    # asceticism ~ Roman religion
12F231|vasten ~ Romeinse religie    # fasting ~ Roman religion
12F24|de gelovige ~ Romeinse religie    # the believer ~ Roman religion
12F25|oracle ~ Romeinse religie    # oracle ~ Roman religion
12F29|godslastering ~ Romeinse religie    # blasphemy ~ Roman religion
12F3|Rituele praktijken met specifieke doelen ~ Romeinse religie    # ritual practices with particular objectives ~ Roman religion
12F31|vruchtbaarheidsriten ~ de bodem, mens, vee (Romeinse religie)    # fertility rites ~ the soil, man, cattle (Roman religion)
12F311|regenmakerij ~ vruchtbaarheidsrituelen (Romeinse religie)    # rainmaking ~ fertility rites (Roman religion)
12F32|exorcisme ~ Romeinse religie    # exorcism ~ Roman religion
12F4|Rituele praktijken ~ stadia van menselijk leven (Romeinse religie)    # ritual practices ~ stadia of human life (Roman religion)
12F44|Rituele praktijken ~ dood en begrafenis (Romeinse religie)    # ritual practices ~ death and burial (Roman religion)
12F441|begrafenisritueel, voorouderverering ~ Romeinse religie    # funerary ritual, ancestor cult ~ Roman religion
12F442|vergoddelijking van stervelingen ~ Romeinse religie    # deification of mortals ~ Roman religion
12F5|religieuze functionarissen ~ Romeinse religie    # religious functionaries ~ Roman religion
12F51|priester ~ Romeinse religie    # priest ~ Roman religion
12F51(...)|priester (met NAAM) ~ Romeinse religie    # priest (with NAME) ~ Roman religion
12F51(FLAMEN DIALIS)|'flamen Dialis', priester van Jupiter (Romeinse religie)    # 'flamen Dialis', priest of Jupiter (Roman religion)
12F513|tempeldienaren ~ Romeinse religie    # temple servants ~ Roman religion
12F52|ziener, profeet ~ Romeinse religie    # seer, prophet ~ Roman religion
12F52(...)|ziener, profeet (met NAAM) ~ Romeinse religie    # seer, prophet (with NAME) ~ Roman religion
12F52(AUGUR)|'augur' ~ Romeinse religie    # 'augur' ~ Roman religion
12F52(HARUSPEX)|'haruspex' ~ Romeinse religie    # 'haruspex' ~ Roman religion
12F6|Plaatsen en objecten van verering ~ Romeinse religie    # places and objects of worship ~ Roman religion
12F61|tempel, heiligdom ~ Romeinse religie    # temple, shrine ~ Roman religion
12F62|altaar ~ Romeinse religie    # altar ~ Roman religion
12F621|huisaltaar ~ Romeinse religie    # house-altar ~ Roman religion
12F63|beelden, schilderijen, enz. ~ objecten van verering in de Romeinse religie    # statues, paintings, etc. ~ objects of worship in Roman religion
12F64|andere heilige plaatsen ~ Romeinse religie    # other holy places ~ Roman religion
12F64(...)|andere heilige plaatsen (met NAAM) ~ Romeinse religie    # other holy places (with NAME) ~ Roman religion
12F7|Rituele objecten en rituele middelen ~ Romeinse religie    # ritual objects and ritual means ~ Roman religion
12F75|andere rituele objecten of middelen ~ Romeinse religie    # other ritual objects or means ~ Roman religion
12F9|Andere sociale activiteiten: feesten, spellen ~ Romeinse religie    # other social activities: feasts, games ~ Roman religion
12F91|feesten en festivals ter ere van de Romeinse goden    # feasts and festivals in honour of the Roman gods
12F91(...)|feesten en festivals ter ere van de Romeinse goden (met NAAM)    # feasts and festivals in honour of the Roman gods (with NAME)
12F91(COMPITALIA)|'Compitalia', feest ter ere van de Lares    # 'Compitalia', feast in honour of the Lares
12F91(LUPERCALIA)|'Lupercalia', feest ter ere van Faunus-Lupercus    # 'Lupercalia', feast in honour of Faunus-Lupercus
12F91(MATRONALIA)|Matronalia, feest ter ere van Juno    # 'Matronalia', feast in honour of Juno
12F91(SATURNALIA)|'Saturnalia', feest ter ere van Saturnus    # 'Saturnalia', feast in honour of Saturn
12F91(VINALIA)|'Vinalia', wijnfestival ter ere van Jupiter    # 'Vinalia', wine festival in honour of Jupiter
12F92|spelen en spellen ter ere van de Romeinse goden    # plays and games in honour of the Roman gods
12F92(...)|Spelen en spellen ter ere van de Romeinse goden (met NAAM)    # plays and games in honour of the Roman gods (with NAME)
12F92(LUDI CEREALES)|'Ludi Cereales', ter ere van Ceres    # 'Ludi Cereales', in honour of Ceres
12F92(LUDI MEGALENSES)|'Ludi Megalenses', ter ere van Cybele    # 'Ludi Megalenses', in honour of Cybele
12F92(LUDI ROMANI)|'Ludi Romani', ter ere van Jupiter    # 'Ludi Romani', in honour of Jupiter
12F92(SAECULARES LUDI)|'Saeculares Ludi', ter ere van Pluto en Proserpina    # 'Saeculares Ludi', in honour of Pluto and Proserpina
12FF13|Representaties ~ godinnen, halfgodinnen, heldinnen etc. (Romeinse religie)    # representations ~ goddesses, demi-goddesses, heroines etc. (Roman religion)
12FF13(...)|Voorstellingen ~ godinnen, halfgodinnen, heldinnen, enz. (met NAAM) (Romeinse religie)    # representations ~ goddesses, demi-goddesses, heroines, etc. (with NAME) (Roman religion)
12FF13(...)1|representaties ~ godinnen, halfgodinnen, heldinnen, enz. (met NAAM) (Romeinse religie) - vroege leven, jeugd van niet-christelijke god of godin    # representations ~ goddesses, demi-goddesses, heroines, etc. (with NAME) (Roman religion) - early life, prime youth of non-Christian god or goddess
12FF13(...)11|representaties ~ godinnen, halfgodinnen, heldinnen, enz. (met NAAM) (Romeinse religie) - geboorte van een niet-christelijke god of godin    # representations ~ goddesses, demi-goddesses, heroines, etc. (with NAME) (Roman religion) - birth of non-Christian god or goddess
12FF13(...)12|Representaties ~ godinnen, halfgodinnen, heldinnen, enz. (met NAAM) (Romeinse religie) - kindertijd, opvoeding van niet-christelijke god of godin    # representations ~ goddesses, demi-goddesses, heroines, etc. (with NAME) (Roman religion) - infancy, upbringing of non-Christian god or goddess
12FF13(...)2|representaties ~ godinnen, halfgodinnen, heldinnen, enz. (met NAAM) (Romeinse religie) - liefdesaffaires van niet-christelijke god of godin    # representations ~ goddesses, demi-goddesses, heroines, etc. (with NAME) (Roman religion) - love-affairs of non-Christian god or goddess
12FF13(...)3|representaties ~ godinnen, halfgodinnen, heldinnen, enz. (met NAAM) (Romeinse religie) - belangrijkste daden van een niet-christelijke god of godin    # representations ~ goddesses, demi-goddesses, heroines, etc. (with NAME) (Roman religion) - most important deeds of non-Christian god or goddess
